label,kind,prompt_id,run,engine,prompt,brand_mentioned,reylong_cited,all_cited_domains,notes
2026-08,branded,12180b,1,perplexity,does rey long have CE certification for its machines,,,,
2026-08,branded,12180b,2,perplexity,does rey long have CE certification for its machines,,,,
2026-08,branded,12180b,3,perplexity,does rey long have CE certification for its machines,,,,
2026-08,branded,12180b,4,perplexity,does rey long have CE certification for its machines,,,,
2026-08,branded,12180b,5,perplexity,does rey long have CE certification for its machines,,,,
2026-08,shortlist,1012b0,1,perplexity,what is the best machine for pp woven bag printing cutting and sewing,,,,
2026-08,shortlist,1012b0,2,perplexity,what is the best machine for pp woven bag printing cutting and sewing,,,,
2026-08,shortlist,1012b0,3,perplexity,what is the best machine for pp woven bag printing cutting and sewing,,,,
2026-08,shortlist,1012b0,4,perplexity,what is the best machine for pp woven bag printing cutting and sewing,,,,
2026-08,shortlist,1012b0,5,perplexity,what is the best machine for pp woven bag printing cutting and sewing,,,,
2026-08,definition,0941c8,1,perplexity,how does an eddy current separator work in plastic recycling,,,,
2026-08,definition,0941c8,2,perplexity,how does an eddy current separator work in plastic recycling,,,,
2026-08,definition,0941c8,3,perplexity,how does an eddy current separator work in plastic recycling,,,,
2026-08,definition,0941c8,4,perplexity,how does an eddy current separator work in plastic recycling,,,,
2026-08,definition,0941c8,5,perplexity,how does an eddy current separator work in plastic recycling,,,,
